// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
49825	-71.0000	0.088985	-2.370467	10.089702	-0.243316	-0.309229	0.544643	-0.984659	0.097164	-0.002163	0.144919
49826	-72.0000	-0.165913	-1.859756	10.184827	-0.337489	0.252321	0.533295	-0.984749	0.096681	-0.002103	0.144627
49827	-72.0000	-0.139205	-1.634599	10.156034	-0.251496	0.445309	0.462271	-0.984807	0.096644	-0.001940	0.144262
49828	-73.0000	0.051031	-1.779126	10.011557	-0.117371	0.234967	0.352458	-0.984809	0.097369	-0.001720	0.143764
49829	-74.0000	0.166108	-1.944046	10.000665	-0.057096	0.064675	0.376165	-0.984765	0.098489	-0.001288	0.143304
49830	-73.0000	0.149937	-2.029342	10.031734	-0.100298	0.023451	0.422824	-0.984655	0.100035	-0.000794	0.142992
49831	-75.0000	0.126884	-2.316699	10.054486	-0.207059	-0.200888	0.501988	-0.984504	0.101728	-0.000319	0.142840
49832	-75.0000	0.219370	-2.345100	9.988354	-0.131886	-0.228737	0.446210	-0.984313	0.103644	0.000097	0.142777
49833	-74.0000	0.318733	-2.240034	9.780152	-0.015184	-0.162140	0.224447	-0.984127	0.105472	0.000394	0.142719
49834	-76.0000	0.350375	-2.246360	9.723603	0.011401	-0.151383	0.172010	-0.983925	0.107318	0.000655	0.142737
49835	-75.0000	0.396959	-2.613883	9.842866	-0.043067	-0.447936	0.369128	-0.983719	0.108907	0.000820	0.142954
49836	-74.0000	0.477633	-2.893046	9.808518	-0.045523	-0.714711	0.399656	-0.983550	0.109670	0.000875	0.143534
49837	-74.0000	0.373788	-2.657492	9.790224	-0.079466	-0.461377	0.327889	-0.983432	0.109664	0.000729	0.144342
49838	-73.0000	0.217065	-2.186577	9.670075	-0.099933	-0.005373	0.103389	-0.983308	0.109441	0.000613	0.145356
49839	-71.0000	0.196046	-1.801832	9.535397	-0.013651	0.328520	-0.112135	-0.983155	0.109458	0.000422	0.146370
49840	-72.0000	0.180459	-1.796773	9.535321	-0.023030	0.339708	-0.113854	-0.982996	0.109692	0.000079	0.147263
49841	-72.0000	0.170667	-2.033170	9.720577	-0.087051	0.167343	0.117918	-0.982825	0.110048	-0.000404	0.148134
49842	-70.0000	0.247403	-2.073503	9.647963	-0.017900	0.098873	0.058164	-0.982632	0.110551	-0.001003	0.149035
49843	-72.0000	0.225383	-1.999908	9.546824	-0.008112	0.160676	-0.057363	-0.982451	0.111131	-0.001756	0.149790
49844	-72.0000	0.160700	-2.018204	9.658460	-0.055492	0.197834	0.053546	-0.982275	0.111838	-0.002532	0.150404
49845	-71.0000	0.077160	-2.300782	9.778187	-0.196142	0.000188	0.230915	-0.982063	0.112733	-0.003436	0.151099
49846	-72.0000	0.118721	-2.729018	9.824205	-0.262014	-0.384133	0.373596	-0.981795	0.113582	-0.004447	0.152180
49847	-71.0000	0.154457	-2.845341	9.810518	-0.243167	-0.494648	0.388402	-0.981539	0.114048	-0.005617	0.153437
49848	-70.0000	0.140185	-2.656906	9.821267	-0.180790	-0.312232	0.356181	-0.981336	0.113916	-0.006706	0.154783
49849	-68.0000	0.143740	-2.322899	9.924955	-0.054633	0.012765	0.381334	-0.981150	0.113656	-0.007691	0.156105
49850	-68.0000	0.152395	-2.141585	9.857765	0.022128	0.158450	0.274905	-0.980945	0.113716	-0.008699	0.157292
49851	-67.0000	0.153938	-2.307781	9.718158	-0.016895	-0.026713	0.176863	-0.980737	0.113903	-0.009736	0.158386
49852	-66.0000	0.178881	-2.573691	9.754973	-0.056389	-0.273577	0.273806	-0.980571	0.113794	-0.010664	0.159431
49853	-66.0000	0.260403	-2.519344	9.883327	0.060338	-0.229698	0.387245	-0.980447	0.113262	-0.011640	0.160500
49854	-65.0000	-0.031452	-1.951147	9.986484	-0.017108	0.394673	0.354993	-0.980360	0.112561	-0.012650	0.161442
49855	-63.0000	-0.251288	-1.625041	9.980146	-0.106268	0.752123	0.273451	-0.980259	0.112311	-0.013619	0.162152
49856	-63.0000	-0.293752	-1.778197	9.848818	-0.185615	0.593561	0.180345	-0.980130	0.112544	-0.014484	0.162694
49857	-62.0000	-0.248796	-1.923685	9.825355	-0.172861	0.442320	0.191037	-0.980038	0.112790	-0.015380	0.162995
49858	-62.0000	-0.304838	-1.788666	9.870114	-0.161052	0.596235	0.203796	-0.979990	0.113001	-0.016364	0.163044
49859	-62.0000	-0.308171	-1.801725	9.887024	-0.146679	0.591187	0.223416	-0.979953	0.113333	-0.017351	0.162933
49860	-68.0000	-0.247765	-2.144571	9.822565	-0.180814	0.246371	0.239672	-0.979908	0.113786	-0.018388	0.162775
49861	-60.0000	-0.367950	-2.218760	9.913182	-0.289319	0.240303	0.345461	-0.979886	0.114035	-0.019394	0.162616
49862	-60.0000	-0.392775	-2.066284	10.022837	-0.236243	0.413587	0.417374	-0.979875	0.114202	-0.020305	0.162452
49863	-60.0000	-0.370687	-1.973901	10.072575	-0.163314	0.504276	0.444479	-0.979859	0.114530	-0.021179	0.162206
49864	-59.0000	-0.298892	-2.159944	10.073490	-0.133875	0.315535	0.488398	-0.979844	0.115059	-0.022053	0.161805
49865	-59.0000	-0.214243	-2.253004	9.969414	-0.069549	0.186882	0.408435	-0.979848	0.115586	-0.023082	0.161258
49866	-59.0000	-0.182589	-2.168781	9.907051	0.006554	0.246038	0.327626	-0.979879	0.116019	-0.024306	0.160581
49867	-60.0000	-0.175082	-2.404117	10.019176	-0.020779	0.053379	0.492212	-0.979956	0.116238	-0.025658	0.159739
49868	-60.0000	-0.168634	-2.677146	10.066256	-0.064471	-0.194508	0.602829	-0.980058	0.116079	-0.027040	0.158998
49869	-60.0000	-0.410120	-2.392009	9.938989	-0.188618	0.105236	0.416030	-0.980193	0.115590	-0.028500	0.158266
49870	-60.0000	-0.761862	-1.771083	9.847401	-0.315040	0.756893	0.188126	-0.980336	0.115346	-0.029786	0.157319
49871	-60.0000	-0.766591	-1.725280	9.805820	-0.285304	0.788254	0.137969	-0.980467	0.115791	-0.030866	0.155964
49872	-59.0000	-0.448587	-2.213409	9.795269	-0.104720	0.245212	0.236020	-0.980559	0.116877	-0.031932	0.154352
49873	-59.0000	-0.398956	-2.501596	9.718887	-0.121343	-0.036869	0.230107	-0.980639	0.117994	-0.033111	0.152735
49874	-59.0000	-0.641486	-2.301986	9.669132	-0.269086	0.224775	0.141194	-0.980739	0.118804	-0.034327	0.151188
49875	-58.0000	-0.656119	-2.116053	9.635227	-0.205732	0.401340	0.063663	-0.980872	0.119337	-0.035433	0.149643
49876	-59.0000	-0.563361	-2.380507	9.679081	-0.162557	0.141075	0.168416	-0.981018	0.119634	-0.036537	0.148179
