// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
49825	-51.0000	9.353510	0.155293	-2.576518	-0.570734	0.145520	-0.127453	0.407350	-0.541932	-0.592422	-0.435214
49826	-51.0000	9.322634	0.116563	-2.711376	-0.609244	0.019766	-0.122224	0.406988	-0.542012	-0.592877	-0.434834
49827	-51.0000	9.236149	0.160526	-2.695158	-0.561577	0.025938	-0.206437	0.406631	-0.542054	-0.593470	-0.434306
49828	-51.0000	9.255244	0.167810	-2.783223	-0.558433	-0.035900	-0.162772	0.406081	-0.542195	-0.594160	-0.433701
49829	-51.0000	9.330907	0.067402	-2.833962	-0.668649	-0.048522	-0.083749	0.405704	-0.542094	-0.594972	-0.433066
49830	-50.0000	9.308972	-0.010563	-2.705793	-0.751843	0.077825	-0.147955	0.405651	-0.541569	-0.595882	-0.432522
49831	-50.0000	9.167605	0.080861	-2.538268	-0.659007	0.211097	-0.325040	0.405449	-0.541056	-0.596884	-0.431970
49832	-51.0000	9.121742	0.217679	-2.736492	-0.524972	0.029087	-0.301353	0.404926	-0.540777	-0.598000	-0.431267
49833	-51.0000	9.170773	0.406531	-3.005080	-0.344428	-0.185845	-0.161488	0.404677	-0.540317	-0.599283	-0.430295
49834	-51.0000	9.147529	0.394387	-3.109431	-0.355749	-0.277130	-0.153597	0.405053	-0.539466	-0.600574	-0.429208
49835	-50.0000	9.067379	0.392091	-2.910431	-0.354554	-0.106026	-0.288783	0.405994	-0.538271	-0.601614	-0.428362
